Generation,BestCandidate, Average, WorstCandidate
955, 0.68, 0.5840001, 0
960, 0.68, 0.616, 0
965, 0.68, 0.6512, 0
970, 0.68, 0.5936, 0
975, 0.68, 0.6512, 0
980, 0.68, 0.5071999, 0
985, 0.68, 0.5071999, 0
990, 0.68, 0.6512, 0
995, 0.68, 0.6322667, 0
1000, 0.68, 0.5229332, 0
1005, 0.68, 0.6426667, 0
1010, 0.68, 0.68, 0
1015, 0.68, 0.68, 0
1020, 0.68, 0.68, 0
1025, 0.68, 0.68, 0
1030, 0.68, 0.68, 0
1035, 0.68, 0.6520001, 0
1040, 0.68, 0.68, 0
1045, 0.68, 0.68, 0
1050, 0.68, 0.6522666, 0
1055, 0.68, 0.6655999, 0
1060, 0.68, 0.6693333, 0
1065, 0.68, 0.6789333, 0
1070, 0.68, 0.6632, 0
1075, 0.68, 0.6530667, 0
1080, 0.68, 0.6597334, 0
1085, 0.68, 0.6032, 0
1090, 0.68, 0.6770667, 0
1095, 0.68, 0.68, 0
1100, 0.68, 0.68, 0
1105, 0.68, 0.6725333, 0
1110, 0.68, 0.6741333, 0
1115, 0.68, 0.6608, 0
1120, 0.68, 0.6704, 0
1125, 0.68, 0.68, 0
1130, 0.68, 0.6512, 0
1135, 0.68, 0.68, 0
1140, 0.68, 0.6730667, 0
1145, 0.68, 0.6597332, 0
1150, 0.68, 0.68, 0
1155, 0.68, 0.6725333, 0
1160, 0.68, 0.6242666, 0
1165, 0.68, 0.6592, 0
1170, 0.68, 0.6512, 0
1175, 0.68, 0.6757334, 0
1180, 0.68, 0.6224, 0
1185, 0.68, 0.6784, 0
1190, 0.68, 0.68, 0
1195, 0.68, 0.6656, 0
1200, 0.68, 0.6650667, 0
1205, 0.68, 0.6778667, 0
1210, 0.68, 0.6725334, 0
1215, 0.68, 0.6746667, 0
1220, 0.68, 0.6328, 0
1225, 0.68, 0.6608, 0
1230, 0.68, 0.68, 0
1235, 0.68, 0.68, 0
1240, 0.68, 0.68, 0
1245, 0.68, 0.6698666, 0
1250, 0.68, 0.6629333, 0
1255, 0.68, 0.6586666, 0
1260, 0.68, 0.6607999, 0
1265, 0.68, 0.6736, 0
1270, 0.68, 0.676, 0
1275, 0.68, 0.68, 0
1280, 0.68, 0.6589333, 0
1285, 0.68, 0.6781333, 0
1290, 0.68, 0.6778667, 0
1295, 0.68, 0.6672, 0
1300, 0.68, 0.6608, 0
1305, 0.68, 0.6757334, 0
1310, 0.68, 0.6565334, 0
1315, 0.68, 0.6608, 0
1320, 0.68, 0.68, 0
1325, 0.68, 0.6512, 0
1330, 0.68, 0.68, 0
1335, 0.68, 0.6714666, 0
1340, 0.68, 0.6765333, 0
1345, 0.68, 0.6784, 0
1350, 0.68, 0.68, 0
1355, 0.68, 0.6586666, 0
1360, 0.68, 0.68, 0
1365, 0.68, 0.6602667, 0
1370, 0.68, 0.6642667, 0
1375, 0.68, 0.6608, 0
1380, 0.68, 0.5936002, 0
1385, 0.68, 0.6704, 0
1390, 0.68, 0.6706666, 0
1395, 0.68, 0.6728001, 0
1400, 0.68, 0.6626667, 0
1405, 0.68, 0.6682667, 0
1410, 0.68, 0.6778667, 0
1415, 0.68, 0.6794666, 0
1420, 0.68, 0.68, 0
1425, 0.68, 0.68, 0
1430, 0.68, 0.6506666, 0
1435, 0.68, 0.6794667, 0
1440, 0.68, 0.6639999, 0
1445, 0.68, 0.6717333, 0
1450, 0.68, 0.6773334, 0
1455, 0.68, 0.6733333, 0
1460, 0.68, 0.6512, 0
1465, 0.68, 0.68, 0
1470, 0.68, 0.6797333, 0
