1,1,5.480495,0.7026667,11
1,2,6.352388,0.7093332,12
1,3,7.371158,0.7266667,15
1,4,8.444771,0.7320001,12
1,5,10.49146,0.7373334,15
1,6,11.50674,0.7373333,15
1,7,12.3235,0.7320001,12
1,8,13.42829,0.724,16
1,9,15.62247,0.7213333,11
2,1,6.104856,0.6986666,10
2,2,8.144629,0.7146667,9
2,3,10.67627,0.7173333,15
2,4,12.97538,0.728,14
2,5,18.16188,0.74,16
2,6,20.70472,0.7306666,15
2,7,23.77332,0.7453334,14
2,8,27.94362,0.724,10
2,9,35.21226,0.7386667,14
3,1,6.874997,0.696,13
3,2,9.967143,0.7066667,11
3,3,13.36673,0.72,13
3,4,17.61165,0.7093334,11
3,5,25.64295,0.7373333,14
3,6,31.09237,0.7306666,15
3,7,36.66108,0.7386667,15
3,8,44.04063,0.7426667,14
3,9,54.48743,0.7266667,15
4,1,7.745145,0.6853333,10
4,2,11.92687,0.7,11
4,3,16.60242,0.7173333,14
4,4,21.27492,0.7106667,10
4,5,32.21178,0.728,15
4,6,40.61814,0.704,14
4,7,50.43007,0.7186667,11
4,8,56.16269,0.7026667,12
4,9,74.05233,0.728,12
5,1,8.748395,0.6813333,7
5,2,13.76559,0.7066666,13
5,3,21.92741,0.7066666,11
5,4,31.74486,0.7173333,10
5,5,46.76028,0.7426667,13
5,6,54.30663,0.7506666,14
5,7,60.0711,0.7173333,14
5,8,71.3185,0.752,17
5,9,94.10726,0.7386667,14
6,1,9.31286,0.5706667,2
6,2,16.83572,0.696,9
6,3,22.0584,0.692,13
6,4,29.87737,0.72,13
6,5,46.85278,0.7213333,15
6,6,58.48524,0.7333333,15
6,7,70.18914,0.736,15
6,8,84.24044,0.7306666,16
6,9,112.6083,0.7146667,17
7,1,10.50395,0.536,1
7,2,17.87681,0.6946667,13
7,3,25.07663,0.6826667,13
7,4,33.95108,0.7026667,12
7,5,54.82317,0.7120001,13
7,6,73.22748,0.7186667,14
7,7,82.33669,0.7186666,13
7,8,97.79529,0.7173333,15
7,9,130.1322,0.7173333,12
8,1,11.39819,0.536,1
8,2,19.23475,0.688,8
8,3,28.64179,0.716,12
8,4,39.27131,0.7266667,13
8,5,62.43362,0.7066667,13
8,6,83.11819,0.6973333,11
8,7,98.16525,0.7226667,14
8,8,124.6492,0.7173334,15
8,9,154.3507,0.724,16
9,1,12.42149,0.536,1
9,2,20.89753,0.6906667,12
9,3,31.40161,0.692,11
9,4,45.13502,0.7,13
9,5,73.07433,0.7226667,14
9,6,92.25674,0.7293333,12
9,7,106.8749,0.712,13
9,8,128.6896,0.7373333,13
9,9,170.3566,0.708,16
